Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
National,0,National,1,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,1825,"$1,427,913.27","$331,852.98","$281,323.48"
National,0,National,2,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,40,"$596,497.38","$143,013.18","$118,448.15"
National,0,National,3,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",11042,"$923,984.47","$208,863.47","$181,412.10"
National,0,National,4,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOU",11255,"$567,503.55","$125,047.33","$109,012.65"
National,0,National,5,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,1167,"$736,809.37","$148,050.97","$116,323.88"
National,0,National,6,LIVER TRANSPLANT WITHOUT MCC,332,"$423,139.20","$70,743.41","$44,805.08"
National,0,National,7,LUNG TRANSPLANT,595,"$941,173.25","$156,459.74","$126,867.35"
National,0,National,8,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,243,"$524,636.91","$81,052.61","$49,783.89"
National,0,National,10,PANCREAS TRANSPLANT,23,"$409,877.43","$69,397.39","$43,395.13"
National,0,National,11,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",1661,"$247,159.56","$57,523.16","$48,154.66"
National,0,National,12,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",1527,"$201,779.72","$44,944.11","$34,989.08"
National,0,National,13,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",383,"$127,261.74","$29,504.96","$22,754.37"
National,0,National,14,ALLOGENEIC BONE MARROW TRANSPLANT,1035,"$572,967.42","$143,401.90","$116,064.76"
National,0,National,16,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,1954,"$259,642.83","$71,746.36","$57,194.87"
National,0,National,17,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,39,"$336,318.08","$44,820.10","$34,638.97"
National,0,National,18,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,1271,"$1,788,160.11","$404,089.83","$376,628.97"
National,0,National,19,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMODIALYSIS,78,"$638,293.53","$103,428.33","$67,255.17"
National,0,National,20,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,2176,"$386,392.63","$99,728.53","$87,189.91"
National,0,National,21,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,629,"$275,065.84","$69,736.78","$59,142.99"
National,0,National,22,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,319,"$151,403.97","$43,701.63","$36,871.04"
National,0,National,23,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,12293,"$250,050.69","$53,401.22","$46,242.24"
National,0,National,24,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MC,4707,"$166,108.92","$35,762.65","$29,837.81"
National,0,National,25,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,22576,"$202,697.89","$43,647.86","$36,956.09"
National,0,National,26,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,6443,"$143,222.54","$29,654.14","$24,599.59"
National,0,National,27,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,7703,"$120,665.07","$24,510.44","$19,896.60"
National,0,National,28,SPINAL PROCEDURES WITH MCC,2270,"$262,912.41","$57,124.55","$48,200.78"
National,0,National,29,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,3119,"$156,288.72","$32,253.24","$26,990.71"
National,0,National,30,SPINAL PROCEDURES WITHOUT CC/MCC,989,"$105,230.83","$21,974.15","$17,112.78"
National,0,National,31,VENTRICULAR SHUNT PROCEDURES WITH MCC,931,"$179,732.51","$41,672.64","$35,309.80"
National,0,National,32,VENTRICULAR SHUNT PROCEDURES WITH CC,1835,"$99,407.47","$20,441.76","$16,882.51"
National,0,National,33,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC,2369,"$76,444.62","$15,849.75","$13,193.00"
National,0,National,34,CAROTID ARTERY STENT PROCEDURES WITH MCC,1741,"$170,527.49","$35,964.97","$31,600.16"
National,0,National,35,CAROTID ARTERY STENT PROCEDURES WITH CC,4660,"$99,618.12","$19,555.73","$16,930.05"
National,0,National,36,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,6780,"$76,461.51","$15,272.15","$12,866.00"
National,0,National,37,EXTRACRANIAL PROCEDURES WITH MCC,2725,"$152,826.20","$30,195.46","$26,326.06"
National,0,National,38,EXTRACRANIAL PROCEDURES WITH CC,8044,"$78,705.95","$14,357.41","$11,645.89"
National,0,National,39,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,14102,"$56,597.79","$9,735.95","$7,388.46"
National,0,National,40,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC",3708,"$172,096.55","$37,106.44","$31,586.55"
National,0,National,41,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUR",4920,"$104,453.82","$21,157.57","$17,140.10"
National,0,National,42,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC",1641,"$86,544.62","$17,494.27","$13,611.66"
National,0,National,52,SPINAL DISORDERS AND INJURIES WITH CC/MCC,989,"$91,574.94","$20,202.86","$16,206.47"
National,0,National,53,SPINAL DISORDERS AND INJURIES WITHOUT CC/MCC,203,"$44,583.52","$11,462.97","$8,967.85"
National,0,National,54,NERVOUS SYSTEM NEOPLASMS WITH MCC,11081,"$67,262.01","$13,780.84","$10,689.09"
National,0,National,55,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC,2618,"$51,234.49","$10,208.86","$7,891.98"
National,0,National,56,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,13795,"$88,321.89","$21,167.56","$17,691.32"
National,0,National,57,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,23859,"$51,951.59","$12,667.00","$10,235.14"
National,0,National,58,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH MCC,891,"$75,461.80","$18,512.48","$14,579.60"
National,0,National,59,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC,1694,"$54,160.09","$11,769.08","$8,557.70"
National,0,National,60,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC,1077,"$42,716.04","$9,411.54","$6,468.10"
National,0,National,61,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",4762,"$134,750.83","$25,855.84","$22,522.16"
National,0,National,62,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",7961,"$96,148.36","$17,415.19","$14,076.41"
National,0,National,63,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",1541,"$78,738.90","$15,407.43","$11,587.76"
National,0,National,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,71695,"$87,736.79","$17,842.34","$14,895.02"
National,0,National,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,76588,"$50,056.84","$9,312.06","$7,070.46"
National,0,National,66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,20126,"$38,433.23","$6,792.51","$4,609.29"
National,0,National,67,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MCC,1201,"$69,122.21","$13,227.26","$11,062.03"
National,0,National,68,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC,3902,"$48,152.76","$8,077.98","$6,144.91"
National,0,National,69,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,27223,"$44,548.93","$7,217.20","$5,443.39"
National,0,National,70,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,17165,"$71,521.58","$15,622.30","$13,168.14"
